RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-745.232	1716.422	71.900	-750.244	1853.356	66.090
-745.211	1716.411	71.878	-750.246	1853.359	66.072
-745.251	1716.437	71.878	-750.262	1853.365	66.091
-745.196	1716.336	72.641	-750.264	1853.385	66.075
-745.241	1716.343	72.641	-750.297	1853.393	66.049
-745.205	1716.314	72.626	-750.305	1853.393	66.031
-745.147	1716.400	72.186	-749.270	1855.384	64.758
-745.805	1714.821	72.322	-749.868	1853.621	65.565
-745.200	1715.947	72.908	-749.955	1853.543	65.577
-745.224	1715.917	72.932	-750.009	1853.475	65.564
-745.251	1715.881	72.954	-750.036	1853.419	65.610
-745.261	1715.902	72.969	-750.050	1853.416	65.611
-745.280	1715.929	72.973	-750.066	1853.388	65.600
-745.247	1715.928	72.923	-750.056	1853.385	65.609
-745.296	1715.932	72.912	-750.084	1853.361	65.560
-745.298	1715.950	72.903	-750.101	1853.372	65.597
-745.298	1715.945	72.913	-750.095	1853.365	65.581
-745.302	1715.953	72.881	-750.119	1853.333	65.571
-745.342	1715.941	72.877	-750.136	1853.352	65.560
-745.353	1715.957	72.876	-750.163	1853.370	65.577
-745.333	1715.963	72.891	-750.160	1853.328	65.530
-745.346	1715.972	72.836	-750.160	1853.324	65.508
-745.379	1716.001	72.821	-750.191	1853.329	65.536
-745.366	1715.972	72.811	-750.195	1853.308	65.526
-745.370	1715.990	72.803	-750.195	1853.311	65.538
-745.362	1715.999	72.809	-750.209	1853.330	65.550
-745.374	1715.995	72.812	-750.224	1853.332	65.531
-745.368	1715.980	72.769	-750.212	1853.343	65.555
-745.364	1715.996	72.816	-750.214	1853.316	65.518
-745.357	1715.988	72.802	-750.240	1853.291	65.527
-745.397	1716.002	72.804	-750.224	1853.301	65.563
-745.381	1715.984	72.816	-750.232	1853.301	65.533
-745.362	1715.975	72.831	-750.236	1853.297	65.530
-745.399	1715.997	72.792	-750.240	1853.287	65.554
-745.362	1715.991	72.794	-750.233	1853.288	65.578
-745.400	1716.006	72.776	-750.230	1853.262	65.522
-745.383	1716.001	72.826	-750.257	1853.251	65.559
-745.400	1716.044	72.799	-750.267	1853.267	65.533
-745.368	1716.013	72.816	-750.290	1853.256	65.556
-745.365	1716.018	72.826	-750.297	1853.266	65.575
-745.360	1716.009	72.820	-750.297	1853.256	65.536
-745.384	1716.016	72.844	-750.284	1853.271	65.585
-745.365	1716.007	72.849	-750.294	1853.271	65.565
-745.360	1716.043	72.806	-750.283	1853.271	65.553
-745.378	1716.029	72.838	-750.297	1853.271	65.552
-745.363	1716.024	72.854	-750.273	1853.260	65.565
-745.340	1716.015	72.867	-750.301	1853.254	65.556
-745.355	1716.025	72.840	-750.287	1853.273	65.542
-745.353	1716.051	72.859	-750.294	1853.276	65.552
-745.361	1716.030	72.860	-750.290	1853.273	65.582
-745.357	1716.041	72.847	-750.321	1853.285	65.596
-745.309	1716.023	72.866	-750.314	1853.270	65.577
-745.339	1716.049	72.863	-750.302	1853.267	65.568
-745.349	1716.039	72.874	-750.309	1853.267	65.573
-745.327	1716.031	72.874	-750.308	1853.275	65.563
-745.330	1716.023	72.855	-750.285	1853.265	65.611
-745.338	1716.035	72.892	-750.295	1853.283	65.612
-745.330	1716.063	72.903	-750.278	1853.287	65.599
-745.317	1716.023	72.897	-750.281	1853.251	65.588
-745.327	1716.036	72.908	-750.307	1853.275	65.640
-745.317	1716.018	72.932	-750.285	1853.258	65.617
-745.316	1716.046	72.924	-750.252	1853.260	65.651
-745.294	1716.023	72.931	-750.253	1853.264	65.665
-745.304	1716.028	72.947	-750.267	1853.279	65.677
-745.296	1716.059	72.946	-750.256	1853.292	65.707
-745.299	1716.026	72.941	-750.250	1853.289	65.705
-745.288	1716.039	72.968	-750.261	1853.289	65.752
-745.286	1716.055	72.956	-750.224	1853.283	65.717
-745.299	1716.043	72.976	-750.231	1853.276	65.725
-745.276	1716.030	72.990	-750.240	1853.293	65.774
-745.273	1716.064	72.974	-750.241	1853.309	65.798
-745.263	1716.031	72.997	-750.214	1853.313	65.811
-745.292	1716.047	73.004	-750.215	1853.280	65.787
-745.262	1716.045	72.999	-750.230	1853.309	65.812
-745.280	1716.080	73.006	-750.237	1853.278	65.792
-745.253	1716.047	73.011	-750.226	1853.281	65.813
-745.242	1716.035	72.983	-750.203	1853.283	65.821
-745.259	1716.028	73.021	-750.216	1853.264	65.796
-745.263	1716.047	72.999	-750.198	1853.246	65.823
-745.249	1716.016	73.025	-750.178	1853.259	65.859
-745.243	1716.055	73.055	-750.191	1853.276	65.869
-745.238	1716.038	73.023	-750.184	1853.251	65.848
-745.245	1716.058	73.038	-750.177	1853.236	65.874
-745.257	1716.056	73.024	-750.179	1853.219	65.818
-745.241	1716.069	73.012	-750.163	1853.255	65.896
-745.220	1716.034	73.052	-750.176	1853.246	65.902
-745.248	1716.055	73.036	-750.165	1853.207	65.889
-745.238	1716.036	73.029	-750.111	1853.201	65.898
-745.248	1716.050	73.047	-750.104	1853.234	65.924
-745.224	1716.038	73.071	-750.146	1853.215	65.880
-745.237	1716.037	73.041	-750.117	1853.231	65.913
-745.214	1716.059	73.042	-750.095	1853.241	65.912
-745.228	1716.042	73.056	-750.094	1853.224	65.897
-745.221	1716.067	73.074	-750.099	1853.231	65.902
-745.202	1716.062	73.057	-750.074	1853.199	65.881
-745.215	1716.051	73.072	-750.080	1853.211	65.911
-745.219	1716.051	73.073	-750.081	1853.222	65.911
-745.209	1716.065	73.058	-750.065	1853.226	65.963
-745.194	1716.077	73.050	-750.069	1853.230	65.934
-745.205	1716.073	73.081	-750.055	1853.216	65.949
-745.192	1716.048	73.059	-750.062	1853.208	65.920
-745.186	1716.051	73.061	-750.047	1853.202	65.958
-745.226	1716.058	73.088	-750.048	1853.217	65.948
-745.209	1716.074	73.082	-750.011	1853.204	65.952
-745.206	1716.080	73.100	-750.046	1853.200	65.947
-745.202	1716.069	73.093	-750.039	1853.186	65.957
-745.191	1716.069	73.111	-750.044	1853.190	65.931
-745.200	1716.055	73.094	-750.030	1853.193	65.969
-745.163	1716.083	73.081	-750.020	1853.203	65.985
-745.212	1716.062	73.091	-750.021	1853.199	66.028
-745.176	1716.063	73.107	-750.018	1853.182	65.976
-745.150	1716.065	73.116	-750.008	1853.176	65.972
-745.182	1716.067	73.154	-750.007	1853.199	66.028
-745.170	1716.063	73.135	-749.997	1853.186	66.025
-745.165	1716.075	73.121	-749.991	1853.189	66.039
-745.168	1716.058	73.147	-749.971	1853.176	66.008
-745.168	1716.085	73.132	-749.957	1853.165	66.029
-745.166	1716.054	73.161	-749.992	1853.177	66.038
-745.163	1716.091	73.183	-749.966	1853.136	66.009
-745.140	1716.070	73.169	-749.936	1853.167	66.080
-745.159	1716.083	73.160	-749.965	1853.128	66.053
-745.138	1716.097	73.142	-749.944	1853.116	66.044
-745.155	1716.079	73.153	-749.937	1853.132	66.018
-745.148	1716.090	73.134	-749.955	1853.146	66.055
-745.126	1716.095	73.143	-749.961	1853.125	66.063
-745.150	1716.071	73.150	-749.958	1853.149	66.097
-745.136	1716.070	73.149	-749.949	1853.119	66.063
-745.139	1716.097	73.139	-749.952	1853.132	66.051
-745.131	1716.078	73.142	-749.937	1853.129	66.039
-745.136	1716.071	73.139	-749.946	1853.130	66.054
-745.162	1716.071	73.118	-749.965	1853.137	66.060
-745.147	1716.094	73.164	-749.966	1853.142	66.056
-745.139	1716.084	73.149	-749.944	1853.113	66.056
-745.164	1716.075	73.143	-749.950	1853.134	66.085
-745.130	1716.078	73.130	-749.952	1853.132	66.031
-745.161	1716.076	73.136	-749.963	1853.128	66.035
-745.156	1716.087	73.144	-749.962	1853.135	66.041
-745.155	1716.084	73.134	-749.975	1853.132	66.048
-745.146	1716.096	73.106	-749.974	1853.123	66.022
-745.134	1716.101	73.125	-749.968	1853.130	66.050
-745.143	1716.088	73.117	-749.978	1853.104	66.024
-745.156	1716.107	73.133	-749.970	1853.123	66.022
-745.136	1716.078	73.122	-749.961	1853.111	66.072
-745.171	1716.112	73.149	-749.958	1853.120	66.041
-745.143	1716.107	73.113	-749.971	1853.129	66.034
-745.166	1716.079	73.103	-749.979	1853.107	66.004
-745.173	1716.092	73.125	-749.982	1853.114	66.032
-745.169	1716.089	73.114	-749.947	1853.123	66.031
-745.142	1716.093	73.100	-749.974	1853.140	66.041
-745.149	1716.083	73.084	-749.972	1853.116	66.027
-745.165	1716.063	73.082	-749.988	1853.135	66.021
-745.149	1716.067	73.072	-749.993	1853.128	66.035
-745.161	1716.061	73.058	-749.957	1853.131	65.998
-745.181	1716.069	73.049	-749.995	1853.136	66.010
-745.176	1716.082	73.060	-749.974	1853.114	65.979
-745.180	1716.087	73.034	-749.984	1853.138	65.998
-745.181	1716.060	73.029	-750.005	1853.128	65.983
-745.202	1716.060	73.012	-749.979	1853.118	65.944
-745.218	1716.030	72.963	-749.990	1853.119	65.913
-745.203	1716.022	72.965	-749.974	1853.134	65.963
-745.215	1716.008	72.938	-749.966	1853.142	65.979
-745.280	1715.999	72.951	-749.982	1853.139	65.941
-745.274	1715.958	72.936	-750.011	1853.151	65.918
-745.284	1715.896	72.926	-750.009	1853.169	65.949
-745.289	1715.900	72.876	-750.008	1853.145	65.906
-745.333	1715.852	72.812	-749.998	1853.167	65.898
-745.359	1715.804	72.737	-750.003	1853.128	65.828
-745.406	1715.734	72.661	-749.997	1853.138	65.808
-745.468	1715.646	72.556	-749.992	1853.121	65.723
-745.579	1715.544	72.453	-750.014	1853.101	65.699
-745.679	1715.434	72.345	-750.007	1853.122	65.682
-745.738	1715.237	72.124	-750.021	1853.116	65.649
-745.822	1715.131	72.023	-750.013	1853.124	65.591
-745.885	1715.071	71.986	-750.046	1853.120	65.582
-745.920	1714.997	71.938	-750.062	1853.098	65.517
-745.943	1714.989	71.913	-750.069	1853.075	65.460
-745.995	1714.920	71.866	-750.125	1853.079	65.408
-746.063	1714.899	71.807	-750.120	1853.047	65.306
-746.133	1714.854	71.712	-750.134	1853.024	65.202
-746.176	1714.789	71.641	-750.196	1852.989	65.106
-746.265	1714.724	71.591	-750.221	1852.948	65.024
-746.375	1714.649	71.395	-750.253	1852.869	64.884
-746.518	1714.535	71.293	-750.331	1852.839	64.771
-746.687	1714.405	71.169	-750.402	1852.818	64.665
-746.806	1714.295	71.034	-750.480	1852.811	64.542
-746.908	1714.152	70.835	-750.569	1852.789	64.417
-747.030	1714.035	70.769	-750.625	1852.786	64.324
-747.040	1713.959	70.762	-750.529	1853.020	64.033
-747.029	1713.955	70.736	-750.605	1853.058	63.994
-747.037	1713.924	70.773	-750.667	1853.113	63.933
-747.038	1713.929	70.813	-750.728	1853.140	63.829
-747.007	1713.977	70.848	-750.809	1853.221	63.797
-746.979	1713.938	70.900	-750.882	1853.225	63.668
-746.897	1714.009	70.946	-750.936	1853.238	63.531
-746.835	1714.094	71.157	-751.087	1853.283	63.352
-747.102	1713.531	71.480	-751.204	1853.343	63.274
-746.915	1713.601	71.710	-751.347	1853.326	63.005
-746.703	1713.682	72.036	-751.442	1853.337	62.788
-746.440	1713.712	72.486	-751.614	1853.407	62.613
-746.087	1713.815	73.280	-751.758	1853.494	62.497
-745.320	1714.530	74.169	-751.921	1853.593	62.320
-744.950	1714.138	75.637	-752.138	1853.693	62.128
-744.070	1714.279	78.089	-752.323	1853.815	61.930
-742.437	1714.782	81.688	-752.493	1853.970	61.771
-739.888	1716.395	86.683	-752.703	1854.094	61.475
-737.183	1717.477	92.884	-752.954	1854.262	61.342
-733.429	1719.415	99.630	-753.194	1854.365	61.205
-728.788	1723.863	107.488	-753.421	1854.470	61.138
-723.228	1727.120	115.213	-753.576	1854.569	60.987
-716.573	1730.804	121.724	-753.752	1854.635	60.853
-708.826	1734.668	126.749	-753.885	1854.728	60.761
-699.668	1738.381	130.219	-753.903	1854.648	60.323
-689.133	1742.402	132.546	-754.019	1854.604	60.245
-677.012	1746.570	133.532	-754.216	1854.441	60.439
-663.437	1750.779	133.603	-754.278	1854.505	60.421
-648.614	1754.610	132.518	-754.241	1854.491	60.239
-632.671	1757.890	130.341	-754.218	1854.516	60.244
-615.202	1760.056	128.194	-754.163	1854.540	60.302
-596.921	1762.757	124.621	-754.120	1854.563	60.343
-577.366	1764.670	120.558	-754.027	1854.516	60.399
-556.543	1766.798	115.788	-753.956	1854.464	60.480
-534.800	1768.481	110.876	-753.899	1854.438	60.565
-512.183	1769.708	105.670	-753.816	1854.364	60.650
-488.841	1770.495	100.596	-753.627	1854.631	60.585
-464.931	1771.082	95.842	-753.545	1854.633	60.670
-440.284	1769.768	91.148	-753.442	1854.623	60.763
-415.659	1769.783	86.894	-753.329	1854.586	60.855
-390.947	1769.627	83.045	-753.218	1854.586	60.947
-366.171	1769.302	79.708	-753.062	1854.553	61.055
-341.789	1769.079	76.914	-752.971	1854.518	61.161
-317.482	1768.829	74.776	-752.854	1854.525	61.293
-293.796	1768.430	73.194	-752.711	1854.461	61.472
-269.632	1770.211	71.030	-752.608	1854.456	61.574
-247.253	1769.291	70.569	-752.476	1854.424	61.715
-225.489	1768.650	70.345	-752.357	1854.410	61.898
-204.607	1767.884	70.218	-752.235	1854.464	62.186
-184.582	1767.182	70.245	-752.108	1854.448	62.477
-165.695	1766.531	70.232	-751.974	1854.439	62.716
-147.845	1765.962	69.854	-751.783	1854.408	63.004
-131.319	1765.694	69.445	-751.645	1854.447	63.307
-116.222	1765.662	68.625	-751.442	1854.496	63.706
-102.744	1765.804	67.624	-751.269	1854.561	64.119
-91.119	1765.884	66.128	-751.082	1854.677	64.586
-81.142	1766.112	64.626	-750.914	1854.869	65.232
-72.748	1766.167	62.396	-750.640	1855.109	65.985
-66.162	1766.413	60.081	-750.382	1855.228	66.778
-61.223	1766.858	57.448	-750.041	1855.340	67.680
-57.889	1767.620	55.370	-749.612	1855.648	69.105
-55.585	1768.584	54.900	-749.079	1855.849	71.113
-53.108	1769.819	53.784	-748.210	1856.063	73.785
-50.290	1771.120	54.166	-747.074	1856.428	77.381
-47.532	1772.467	55.773	-745.720	1856.823	81.610
-44.853	1772.921	57.344	-744.010	1857.440	86.736
-42.519	1773.383	59.171	-742.215	1857.939	92.722
-39.900	1772.240	61.021	-739.666	1858.871	98.873
-37.785	1772.114	62.525	-736.822	1860.151	105.863
-36.182	1771.889	63.971	-733.416	1861.740	113.335
-35.011	1771.515	64.982	-729.382	1863.692	121.560
-34.015	1771.076	65.914	-724.317	1865.666	130.227
-33.184	1770.755	66.766	-718.308	1867.785	139.780
-32.492	1770.614	67.449	-711.157	1869.660	149.782
-32.057	1770.613	67.910	-702.377	1871.345	160.577
-31.750	1770.712	68.033	-692.101	1872.648	171.792
-31.568	1770.851	68.085	-680.203	1873.662	183.940
-31.426	1770.955	68.065	-666.757	1874.946	196.568
-31.354	1771.010	68.092	-651.958	1875.631	210.151
-31.097	1771.535	67.792	-636.112	1876.365	224.353
-32.085	1769.252	68.784	-618.578	1877.078	238.691
-32.061	1769.328	68.737	-599.288	1877.643	253.237
-32.050	1769.368	68.685	-578.252	1878.065	267.477
-32.060	1769.367	68.652	-556.038	1878.070	281.101
-32.111	1769.365	68.584	-533.008	1877.524	293.385
-32.147	1769.303	68.589	-510.836	1876.873	303.593
-32.166	1769.218	68.503	-489.998	1876.681	311.514
-32.244	1769.168	68.559	-469.449	1876.536	317.331
-32.247	1769.081	68.429	-449.802	1877.287	321.962
-32.285	1769.039	68.374	-428.887	1877.577	323.570
-32.335	1769.012	68.396	-407.036	1877.647	323.071
-32.350	1768.985	68.373	-384.023	1877.678	320.794
-32.409	1768.961	68.353	-359.981	1877.208	316.395
-32.460	1768.957	68.364	-334.776	1875.292	309.942
-32.433	1769.001	68.397	-308.886	1874.265	301.798
-32.396	1769.020	68.437	-282.050	1873.251	292.392
-32.357	1769.075	68.588	-254.276	1872.112	281.266
-31.603	1770.441	67.832	-225.415	1871.030	268.979
-30.823	1773.594	66.878	-195.292	1869.958	255.522
-30.717	1773.590	66.958	-163.914	1868.729	241.491
-30.601	1773.605	66.943	-131.719	1868.013	226.188
-30.107	1773.035	66.727	-98.407	1867.138	210.539
-30.104	1773.027	66.757	-62.555	1868.280	193.235
